movie_a,movie_b,similarity,common_ratings
0,1,0.22182378788625384,104
0,2,0.1862604121925389,78
0,3,0.10323990838671401,149
0,4,0.388755243693654,57
0,5,0.534293460848412,14
0,6,0.1608675975917444,281
0,7,0.2464228288906729,154
0,8,0.09519979320343747,201
0,9,0.1965225767065695,61
0,10,0.30823592386843074,160
0,11,0.08381488105604411,168
0,12,0.019024518133767623,135
0,13,0.13335758307508264,111
0,14,0.09495634117548107,221
0,15,0.30108535055171054,33
0,16,0.29332555014016026,63
0,17,0.4287235080991226,5
0,18,0.16423408572100287,39
0,19,0.06507426789067279,49
0,20,0.28645553124300505,72
